node_id,name,node_time,subpop_id,parent_id,color_trait_0,transmissibility_1
137,3264.5341,3264,5341,163,#21918c,1.6624538584660749
209,.,211,-1,272,#21918c,1.6624538584660749
47,1182.7225,1182,7225,209,#21918c,1.6624538584660749
185,.,258,-1,209,#21918c,1.6624538584660749
110,2598.4297,2598,4297,185,#21918c,1.6624538584660749
170,.,316,-1,185,#21918c,1.6624538584660749
45,1171.5846,1171,5846,170,#21918c,1.6624538584660749
56,1394.463,1394,463,170,#21918c,1.6624538584660749
278,.,88,-1,284,#21918c,1.6624538584660749
227,.,183,-1,278,#21918c,1.6624538584660749
70,1713.2042,1713,2042,227,#21918c,1.6624538584660749
225,.,185,-1,227,#21918c,1.6624538584660749
54,1353.1745,1353,1745,225,#21918c,1.6624538584660749
131,3170.6218,3170,6218,225,#21918c,1.6624538584660749
254,.,149,-1,278,#21918c,1.6624538584660749
9,505.8174,505,8174,254,#21918c,1.6624538584660749
123,2992.389,2992,389,254,#21918c,1.6624538584660749
4,1.6776,1,6776,-1,#5ec962,1.6624538584660749
299,.,10,-1,4,#5ec962,1.6624538584660749
289,.,45,-1,299,#5ec962,1.6624538584660749
111,2600.8328,2600,8328,289,#5ec962,1.6624538584660749
283,.,68,-1,289,#5ec962,1.6624538584660749
265,.,119,-1,283,#5ec962,1.6624538584660749
224,.,186,-1,265,#5ec962,1.6624538584660749
139,3297.4518,3297,4518,224,#5ec962,1.6624538584660749
215,.,204,-1,224,#5ec962,1.6624538584660749
25,858.5978,858,5978,215,#5ec962,1.6624538584660749
196,.,232,-1,215,#5ec962,1.6624538584660749
79,1833.6220,1833,6220,196,#5ec962,1.6624538584660749
194,.,241,-1,196,#5ec962,1.6624538584660749
154,.,2802,-1,194,#5ec962,1.6624538584660749
129,3153.9120,3153,9120,154,#5ec962,1.6624538584660749
143,3379.2398,3379,2398,154,#5ec962,1.6624538584660749
166,.,350,-1,194,#5ec962,1.6624538584660749
28,903.6895,903,6895,166,#5ec962,1.6624538584660749
105,2495.7332,2495,7332,166,#5ec962,1.6624538584660749
258,.,141,-1,265,#5ec962,1.6624538584660749
181,.,275,-1,258,#5ec962,1.6624538584660749
44,1150.6247,1150,6247,181,#5ec962,1.6624538584660749
50,1210.2690,1210,2690,181,#5ec962,1.6624538584660749
234,.,177,-1,258,#5ec962,1.6624538584660749
90,2043.1021,2043,1021,234,#5ec962,1.6624538584660749
104,2488.6907,2488,6907,234,#5ec962,1.6624538584660749
282,.,73,-1,283,#5ec962,1.6624538584660749
247,.,158,-1,282,#5ec962,1.6624538584660749
190,.,246,-1,247,#5ec962,1.6624538584660749
52,1295.2395,1295,2395,190,#5ec962,1.6624538584660749
53,1350.5077,1350,5077,190,#5ec962,1.6624538584660749
245,.,159,-1,247,#5ec962,1.6624538584660749
235,.,176,-1,245,#5ec962,1.6624538584660749
76,1801.6249,1801,6249,235,#5ec962,1.6624538584660749
201,.,224,-1,235,#5ec962,1.6624538584660749
91,2052.4096,2052,4096,201,#5ec962,1.6624538584660749
97,2268.288,2268,288,201,#5ec962,1.6624538584660749
239,.,168,-1,245,#5ec962,1.6624538584660749
74,1766.4935,1766,4935,239,#5ec962,1.6624538584660749
232,.,178,-1,239,#5ec962,1.6624538584660749
63,1634.2176,1634,2176,232,#5ec962,1.6624538584660749
229,.,179,-1,232,#5ec962,1.6624538584660749
37,1045.601,1045,601,229,#5ec962,1.6624538584660749
187,.,256,-1,229,#5ec962,1.6624538584660749
39,1104.8592,1104,8592,187,#5ec962,1.6624538584660749
92,2091.7483,2091,7483,187,#5ec962,1.6624538584660749
277,.,88,-1,282,#5ec962,1.6624538584660749
242,.,164,-1,277,#5ec962,1.6624538584660749
99,2293.3683,2293,3683,242,#5ec962,1.6624538584660749
228,.,181,-1,242,#5ec962,1.6624538584660749
65,1654.9775,1654,9775,228,#5ec962,1.6624538584660749
211,.,208,-1,228,#5ec962,1.6624538584660749
30,914.3707,914,3707,211,#5ec962,1.6624538584660749
87,1996.4322,1996,4322,211,#5ec962,1.6624538584660749
270,.,107,-1,277,#5ec962,1.6624538584660749
240,.,168,-1,270,#5ec962,1.6624538584660749
13,615.3413,615,3413,240,#5ec962,1.6624538584660749
220,.,200,-1,240,#5ec962,1.6624538584660749
188,.,252,-1,220,#5ec962,1.6624538584660749
51,1275.6271,1275,6271,188,#5ec962,1.6624538584660749
144,3379.4609,3379,4609,188,#5ec962,1.6624538584660749
203,.,220,-1,220,#5ec962,1.6624538584660749
101,2309.4738,2309,4738,203,#5ec962,1.6624538584660749
155,.,1582,-1,203,#5ec962,1.6624538584660749
85,1990.104,1990,104,155,#5ec962,1.6624538584660749
89,2023.2738,2023,2738,155,#5ec962,1.6624538584660749
264,.,122,-1,270,#5ec962,1.6624538584660749
168,.,346,-1,264,#5ec962,1.6624538584660749
72,1728.7897,1728,7897,168,#5ec962,1.6624538584660749
157,.,686,-1,168,#5ec962,1.6624538584660749
41,1127.602,1127,602,157,#5ec962,1.6624538584660749
153,3612.8006,3612,8006,157,#5ec962,1.6624538584660749
260,.,133,-1,264,#5ec962,1.6624538584660749
164,.,382,-1,260,#5ec962,1.6624538584660749
66,1663.2333,1663,2333,164,#5ec962,1.6624538584660749
116,2869.9011,2869,9011,164,#5ec962,1.6624538584660749
210,.,211,-1,260,#5ec962,1.6624538584660749
93,2138.4175,2138,4175,210,#5ec962,1.6624538584660749
207,.,216,-1,210,#5ec962,1.6624538584660749
34,1020.408,1020,408,207,#5ec962,1.6624538584660749
132,3188.1251,3188,1251,207,#5ec962,1.6624538584660749
298,.,12,-1,299,#5ec962,1.6624538584660749
197,.,231,-1,298,#5ec962,1.6624538584660749
19,734.3099,734,3099,197,#5ec962,1.6624538584660749
167,.,348,-1,197,#5ec962,1.6624538584660749
43,1134.333,1134,333,167,#5ec962,1.6624538584660749
161,.,402,-1,167,#5ec962,1.6624538584660749
7,428.7441,428,7441,161,#5ec962,1.6624538584660749
16,655.703,655,703,161,#5ec962,1.6624538584660749
297,.,18,-1,298,#5ec962,1.6624538584660749
231,.,179,-1,297,#5ec962,1.6624538584660749
57,1401.8083,1401,8083,231,#5ec962,1.6624538584660749
221,.,198,-1,231,#5ec962,1.6624538584660749
71,1721.3285,1721,3285,221,#5ec962,1.6624538584660749
184,.,259,-1,221,#5ec962,1.6624538584660749
88,2009.3591,2009,3591,184,#5ec962,1.6624538584660749
