node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
232,641.8181,641,8181,94,#3300cc,0.2,0.0,0.0
207,605.595,605,595,426,#3300cc,0.2,0.0,0.0
530,.,100,-1,536,#0000ff,0.0,0.0,0.0
523,.,104,-1,530,#0000ff,0.0,0.0,0.0
35,201.3268,201,3268,523,#0000ff,0.0,0.0,0.0
85,298.3727,298,3727,523,#0000ff,0.0,0.0,0.2
521,.,105,-1,523,#0000ff,0.0,0.0,0.0
40,206.2911,206,2911,521,#0000ff,0.0,0.0,0.0
479,.,122,-1,521,#0000ff,0.0,0.0,0.0
113,357.9835,357,9835,479,#0000ff,0.0,0.0,0.0
184,564.6718,564,6718,479,#0000ff,0.0,0.0,0.0
518,.,107,-1,521,#0000ff,0.0,0.0,0.0
498,.,115,-1,518,#0000ff,0.0,0.0,0.0
119,385.7154,385,7154,498,#3300cc,0.2,0.0,0.4
497,.,116,-1,498,#0000ff,0.0,0.0,0.0
157,505.2087,505,2087,497,#660099,0.4,0.0,0.0
494,.,117,-1,497,#0000ff,0.0,0.0,0.0
27,184.1952,184,1952,494,#0000ff,0.0,0.0,0.0
424,.,287,-1,494,#0000ff,0.0,0.0,0.0
92,307.1581,307,1581,424,#0000ff,0.0,0.0,0.0
403,.,366,-1,424,#0000ff,0.0,0.0,0.0
134,437.3902,437,3902,403,#3300cc,0.2,0.0,0.2
151,491.8208,491,8208,403,#3300cc,0.2,0.0,0.0
489,.,118,-1,494,#0000ff,0.0,0.0,0.0
437,.,170,-1,489,#0000ff,0.0,0.0,0.0
84,294.3812,294,3812,437,#0000ff,0.0,0.0,0.0
419,.,311,-1,437,#0000ff,0.0,0.0,0.0
99,325.1989,325,1989,419,#0000ff,0.0,0.0,0.0
412,.,338,-1,419,#3300cc,0.2,0.0,0.2
368,.,455,-1,412,#3300cc,0.2,0.0,0.2
268,696.3216,696,3216,368,#3300cc,0.2,0.0,0.2
293,729.2509,729,2509,368,#660099,0.4,0.0,0.2
401,.,377,-1,412,#990066,0.6000000000000001,0.0,0.2
288,720.4362,720,4362,401,#cc0033,0.8,0.0,0.2
396,.,389,-1,401,#cc0033,0.8,0.0,0.2
392,.,395,-1,396,#cc0033,0.8,0.0,0.2
373,.,444,-1,392,#cc0033,0.8,0.0,0.2
342,.,492,-1,373,#cc0033,0.8,0.0,0.2
208,606.4921,606,4921,342,#cc0033,0.8,0.0,0.2
325,.,528,-1,342,#cc0033,0.8,0.0,0.2
290,723.1289,723,1289,325,#cc0033,0.8,0.0,0.2
295,.,633,-1,325,#cc0033,0.8,0.0,0.2
227,638.1588,638,1588,295,#cc0033,0.8,0.0,0.2
264,691.4379,691,4379,295,#cc0033,0.8,0.0,0.2
372,.,447,-1,373,#cc0033,0.8,0.0,0.2
292,729.9595,729,9595,372,#cc0033,0.8,0.0,0.2
314,.,545,-1,372,#cc0033,0.8,0.0,0.2
196,584.7478,584,7478,314,#cc0033,0.8,0.0,0.2
258,683.5991,683,5991,314,#cc0033,0.8,0.0,0.2
390,.,400,-1,392,#cc0033,0.8,0.0,0.2
323,.,530,-1,390,#cc0033,0.8,0.2,0.2
263,691.1170,691,1170,323,#cc0033,0.8,0.2,0.2
305,.,572,-1,323,#cc0033,0.8,0.2,0.2
262,690.1664,690,1664,305,#cc0033,0.8,0.2,0.2
300,.,608,-1,305,#cc0033,0.8,0.2,0.2
246,669.1990,669,1990,300,#cc0033,0.8,0.2,0.2
294,.,666,-1,300,#cc0033,0.8,0.2,0.2
265,692.409,692,409,294,#cc0033,0.8,0.2,0.2
284,714.9700,714,9700,294,#cc0033,0.8,0.2,0.2
370,.,451,-1,390,#cc0033,0.8,0.0,0.2
180,557.4577,557,4577,370,#cc0033,0.8,0.0,0.2
356,.,466,-1,370,#cc0033,0.8,0.0,0.2
271,700.2976,700,2976,356,#ff0000,1.0,0.0,0.2
301,.,605,-1,356,#cc0033,0.8,0.0,0.2
233,642.3202,642,3202,301,#cc0033,0.8,0.0,0.2
256,681.9920,681,9920,301,#ff0000,1.0,0.0,0.2
395,.,391,-1,396,#cc0033,0.8,0.0,0.2
380,.,423,-1,395,#cc0033,0.8,0.0,0.2
369,.,452,-1,380,#cc0033,0.8,0.0,0.2
220,626.5501,626,5501,369,#cc0033,0.8,0.0,0.2
243,662.2746,662,2746,369,#cc0033,0.8,0.0,0.2
379,.,425,-1,380,#cc0033,0.8,0.0,0.2
150,489.8596,489,8596,379,#cc0033,0.8,0.0,0.2
361,.,459,-1,379,#cc0033,0.8,0.0,0.2
339,.,498,-1,361,#cc0033,0.8,0.0,0.2
199,595.5016,595,5016,339,#cc0033,0.8,0.0,0.2
306,.,567,-1,339,#cc0033,0.8,0.0,0.2
225,632.179,632,179,306,#ff0000,1.0,0.0,0.2
276,704.5874,704,5874,306,#cc0033,0.8,0.0,0.2
340,.,494,-1,361,#cc0033,0.8,0.0,0.4
241,654.8314,654,8314,340,#cc0033,0.8,0.0,0.4
296,.,624,-1,340,#cc0033,0.8,0.0,0.4
248,669.9527,669,9527,296,#cc0033,0.8,0.0,0.4
287,719.291,719,291,296,#cc0033,0.8,0.0,0.4
386,.,407,-1,395,#cc0033,0.8,0.0,0.2
366,.,458,-1,386,#cc0033,0.8,0.0,0.2
142,466.1824,466,1824,366,#cc0033,0.8,0.0,0.2
221,627.6713,627,6713,366,#cc0033,0.8,0.0,0.2
384,.,415,-1,386,#cc0033,0.8,0.0,0.2
375,.,440,-1,384,#cc0033,0.8,0.0,0.2
367,.,457,-1,375,#cc0033,0.8,0.0,0.2
355,.,467,-1,367,#cc0033,0.8,0.0,0.2
147,478.4292,478,4292,355,#cc0033,0.8,0.0,0.2
350,.,479,-1,355,#cc0033,0.8,0.0,0.2
168,526.5656,526,5656,350,#cc0033,0.8,0.0,0.2
278,708.3659,708,3659,350,#cc0033,0.8,0.0,0.2
362,.,459,-1,367,#cc0033,0.8,0.0,0.2
348,.,482,-1,362,#cc0033,0.8,0.0,0.2
267,693.7180,693,7180,348,#ff0000,1.0,0.0,0.2
299,.,610,-1,348,#cc0033,0.8,0.0,0.2
222,628.8366,628,8366,299,#cc0033,0.8,0.0,0.2
231,641.814,641,814,299,#cc0033,0.8,0.0,0.2
359,.,461,-1,362,#cc0033,0.8,0.0,0.2
255,681.559,681,559,359,#cc0033,0.8,0.0,0.2
357,.,465,-1,359,#cc0033,0.8,0.0,0.2
188,571.9347,571,9347,357,#cc0033,0.8,0.0,0.2
203,601.7179,601,7179,357,#ff0000,1.0,0.0,0.2
336,.,510,-1,357,#cc0033,0.8,0.0,0.2
329,.,519,-1,336,#cc0033,0.8,0.0,0.2
173,541.8783,541,8783,329,#cc0033,0.8,0.0,0.2
216,616.514,616,514,329,#cc0033,0.8,0.0,0.2
335,.,511,-1,336,#cc0033,0.8,0.0,0.2
320,.,540,-1,335,#cc0033,0.8,0.0,0.2
279,709.1204,709,1204,320,#cc0033,0.8,0.0,0.2
319,.,541,-1,320,#cc0033,0.8,0.0,0.2
183,563.7108,563,7108,319,#cc0033,0.8,0.0,0.2
318,.,542,-1,319,#cc0033,0.8,0.0,0.2
192,576.757,576,757,318,#cc0033,0.8,0.0,0.2
226,633.6156,633,6156,318,#cc0033,0.8,0.0,0.2
235,644.4003,644,4003,318,#cc0033,0.8,0.0,0.2
334,.,512,-1,335,#cc0033,0.8,0.0,0.2
272,700.7151,700,7151,334,#cc0033,0.8,0.0,0.2
333,.,513,-1,334,#cc0033,0.8,0.0,0.2
261,689.8783,689,8783,333,#cc0033,0.8,0.0,0.2
332,.,514,-1,333,#cc0033,0.8,0.0,0.2
317,.,543,-1,332,#cc0033,0.8,0.0,0.2
237,647.442,647,442,317,#cc0033,0.8,0.0,0.2
277,706.1510,706,1510,317,#ff0000,1.0,0.0,0.2
331,.,515,-1,332,#cc0033,0.8,0.0,0.2
223,631.9190,631,9190,331,#cc0033,0.8,0.0,0.2
228,638.3637,638,3637,331,#cc0033,0.8,0.0,0.2
260,689.1231,689,1231,331,#cc0033,0.8,0.0,0.2
374,.,441,-1,375,#cc0033,0.8,0.0,0.2
283,714.5160,714,5160,374,#cc0033,0.8,0.0,0.2
341,.,492,-1,374,#cc0033,0.8,0.0,0.2
269,698.7425,698,7425,341,#cc0033,0.8,0.0,0.2
282,711.8068,711,8068,341,#cc0033,0.8,0.0,0.2
377,.,435,-1,384,#cc0033,0.8,0.0,0.4
327,.,523,-1,377,#cc0033,0.8,0.0,0.4
247,669.6574,669,6574,327,#cc0033,0.8,0.0,0.4
313,.,547,-1,327,#cc0033,0.8,0.0,0.4
234,642.6862,642,6862,313,#cc0033,0.8,0.0,0.4
275,703.3835,703,3835,313,#cc0033,0.8,0.0,0.6000000000000001
363,.,459,-1,377,#cc0033,0.8,0.0,0.4
307,.,563,-1,363,#cc0033,0.8,0.0,0.4
206,603.5266,603,5266,307,#cc0033,0.8,0.0,0.4
285,715.4765,715,4765,307,#cc0033,0.8,0.0,0.4
351,.,477,-1,363,#cc0033,0.8,0.0,0.4
338,.,502,-1,351,#cc0033,0.8,0.0,0.4
249,671.2264,671,2264,338,#cc0033,0.8,0.0,0.4
324,.,529,-1,338,#cc0033,0.8,0.0,0.4
280,709.3472,709,3472,324,#cc0033,0.8,0.0,0.4
322,.,532,-1,324,#cc0033,0.8,0.0,0.4
304,.,588,-1,322,#cc0033,0.8,0.0,0.4
239,651.8497,651,8497,304,#cc0033,0.8,0.0,0.4
286,718.2202,718,2202,304,#cc0033,0.8,0.0,0.4
321,.,538,-1,322,#cc0033,0.8,0.0,0.4
308,.,562,-1,321,#cc0033,0.8,0.0,0.4
215,615.8635,615,8635,308,#cc0033,0.8,0.0,0.4
266,693.943,693,943,308,#cc0033,0.8,0.0,0.4
316,.,543,-1,321,#cc0033,0.8,0.0,0.4
302,.,597,-1,316,#cc0033,0.8,0.0,0.4
211,609.6391,609,6391,302,#cc0033,0.8,0.0,0.4
244,665.6810,665,6810,302,#cc0033,0.8,0.0,0.4
311,.,559,-1,316,#cc0033,0.8,0.0,0.4
190,575.2763,575,2763,311,#cc0033,0.8,0.0,0.4
259,685.1004,685,1004,311,#cc0033,0.8,0.0,0.4
347,.,485,-1,351,#cc0033,0.8,0.0,0.4
326,.,523,-1,347,#cc0033,0.8,0.0,0.4
182,560.8973,560,8973,326,#cc0033,0.8,0.0,0.4
289,721.3957,721,3957,326,#cc0033,0.8,0.0,0.4
330,.,516,-1,347,#cc0033,0.8,0.0,0.4
297,.,617,-1,330,#cc0033,0.8,0.0,0.4
254,679.8506,679,8506,297,#cc0033,0.8,0.0,0.4
291,723.1154,723,1154,297,#cc0033,0.8,0.0,0.4
